effect_id,brand_id,model_ids,effect_name,version,collection,effect_types,tool_types,plugin_formats,plugin_notes,workflow_notes,description,recording_notes,artist_reference,attributes,tags,parent_ids
47113a36-3db2-45c8-b15e-c39a3dcee3c9,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,596a16e7-f970-484c-948d-6a75bf7cfed6,1x6 BM DK,,Brian May Collection,,,,1x6 CAB,,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
f0d9f5ed-d0ad-40fe-be29-78bd4eaeb565,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,f9691b9c-6294-4e8e-88b1-a40dad5aef60,BigPig,,Amplitube Metal,"Harmonic Coloration,Dynamics",,,,Electro-Harmonix Big Muff Pi ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
5fafea8a-5d42-4c14-93f9-bc0af5cd4548,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,f9691b9c-6294-4e8e-88b1-a40dad5aef60,X-DRIVE (Big Fuzz Setting),,X-Gear (X-DRIVE),"Harmonic Coloration,Dynamics",,,,Electro-Harmonix Big Muff Pi ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
b72157ea-e86e-4803-9ae0-f75b3568f4cb,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,f926e1cc-0cc0-4743-baff-a4a43af8735c,Analog Delay,,Amplitube SVX,"Delay,Modulation",,,,Electro-Harmonix Deluxe Memory Man ALT (Tone),,,,,"Bass,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
620358f6-7855-4c79-9797-05efa702d82b,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,f926e1cc-0cc0-4743-baff-a4a43af8735c,EchoMan,,Amplitube Collection,"Delay,Modulation",,,,Electro-Harmonix Deluxe Memory Man ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
d489c5a0-b1f2-40c8-aead-1d3b4a04d850,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,a36173ab-55dc-4d6f-ac55-f280f2078a30,Analog Flanger,,Amplitube Metal,Modulation,,,,Electro-Harmonix Electric Mistress ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
be829a1a-49ca-4470-896b-f7eaf6ecc5a2,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,5c770702-1563-40f8-ad0b-e36f78b8dab2,Delay,,Amplitube Collection,Delay,,,,,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
4e93961a-865d-4671-ba5d-9ae9347fee67,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,b4a4341f-029d-42dc-aaa7-3aa99feece7e,SVX Envelope Filter,,Amplitube SVX,Modulation,,,,Electro-Harmonix Q-Tron TOP,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
3d8a3b5d-09a2-4c23-9766-939bb9827cf2,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,eb464db9-0971-4c8e-922c-f0d876532e1e,Rezo,,Amplitube Collection,Pitch Tools,,,,,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
7de5d878-a096-4d89-a34c-101ba55536b1,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,c6a39df9-1a61-42f6-b429-05f545286017,EV Darkness,,,,,,1x12 CAB (Speaker),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
1a650d39-4b6b-4a3b-80a0-39cb7f3d49df,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,10cbd4c9-3cf4-46a1-ba8a-3f4096e82867,4x12 E 412 Standard,,Engl Collection,,,,4x12 CAB,Engl E412VGB ALT (Tone),,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
