library_id,brand_id,model_ids,library_name,notes,attributes,parent_ids
cf3fee5a-81c9-4729-9169-622b394aa7bc,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Punch and Tilt,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
ad9ab6f2-b9de-40e0-b512-52e3f6647c81,3d726b0a-202c-11f1-a0d3-0072ee78ad39,,Retro Synths,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
5bed661b-4a8e-4a00-b214-9018f38bc461,aba99e06-202a-11f1-a0d3-0072ee78ad39,,Schwarzonator 2,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
4d744a4d-5abe-4d01-b6de-c9b2b3a90063,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Sequencers,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
6f24346d-ff48-4af5-a45b-126ff4d9ea18,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Session Drums Club,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
57355f3a-b452-48a9-baaa-533aade953ff,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Session Drums Multimic,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
12664550-41d8-43d3-b075-94ebbc9dd82a,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Session Drums Studio,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
4ca964aa-f025-4049-9803-a702d8a19fc5,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Singularities,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
a5b60345-c9bc-42a3-992c-bc09c1ce9df4,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Skitter and Step,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
76a92afd-6392-40b5-9b60-e83091ccdc54,56967aa4-ef65-456d-9c0e-3e2c0846ddf6,,String Quartet,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
d3e4d3eb-84d0-4334-b4ec-3db7f6c24854,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Surround Panner,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
612a3b02-f7ee-4d85-acd3-aedc86e05eeb,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Synth Essentials,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
5a0d452e-7708-4884-875f-f701bc4b27ce,f6fbdfc4-202d-11f1-a0d3-0072ee78ad39,,Trap Drums,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
2d0cdd3c-c728-4732-9725-b826b56063d2,56967aa4-ef65-456d-9c0e-3e2c0846ddf6,,Upright Piano,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
1ed7c004-f1a0-474e-9f96-9285198633ca,76641d3a-202e-11f1-a0d3-0072ee78ad39,,Vinyl Classics,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
3ea36260-a2ba-4a0b-be55-703817e467bf,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Voice Box,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
871581d4-824c-4cb7-9bb0-713530be3e36,7e66e7b3-acb0-484b-a0a1-856cb4faa981,,Hyper Rave,,,"instruments:e512000e-c679-45bc-8db1-b0b04d3a9cff,instruments:b5fefef6-8ece-4410-aa66-2c94fcdb18e7,instruments:4fe243ad-f3f9-47c7-b6fd-db39cfb9c5ea,instruments:52c389cc-d757-4d39-99cd-7af9f0040390,instruments:0e23540f-f18c-48ac-a9a8-08d522efb8d5,instruments:7bca50c8-d539-464f-a8ad-97aaaca63722,instruments:b875dc56-2fbd-41d9-95f3-72180779c31e"
