Name,Manufacturer,Category,Placeholder (Sorted Category) ,Form Factor,Tags,Sorted Tags,Parent,Version,Format,Model,Plugin Notes,Instrument Notes,Recording Notes,Column 12,Column 13,Column 14,Column 15
Thunder Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Gibson Thunderbird,(1963),"4 Strings; Passive, THunder BHB + NHB, (1963, rock)  ",(rock),,,,
Titan,Native Instruments,Synth,Synth,,,,Reaktor,,,,,powerful 3 independent oscillator synth,,,,,
Toy Piano - Classic,Spectrasonics,Keyboards,Keyboards,,,,"Keyscape, Omnisphere",,,,1930's toy piano created by Alice Bennett based on Schoenhut Toy PIanos from 1800s Germany,,,,,,
Toy Piano - Glock,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Schoenhut Glockenspiel Toy Piano,,,,,,,
Toy Piano - Grand,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Muse Toy Piano Grand,,,,,,,
Toy Piano - Saucer Bell,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Jaymar Upright Toy Piano,,,,,,,
Travelizer,Native Instruments,Sound Design,Sound Design,,,,Reaktor,,,,,granular texture maker ,,,,,
Trinity,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.1.1,"AU, VST3",Korg Trinity,,,,,,,
Triton,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.4.3,"AU, VST3",Korg Triton ,,,,,,,
Triton Extreme,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.1.1,"AU, VST3",Korg Triton Extreme,,,,,,,
Twin 3,FabFilter,Synth,Synth,Plugin,,,,3.05,"AU, VST3",,,"4 analog-modeled oscillators, 64 voices,",,,,,
Vectory,Native Instruments,"Sampling, Synth","Sampling, Synth",,,,Reaktor,,,,,sample destruction unit,,,,,
Vierring,Native Instruments,Rhythm,Rhythm,,,,Reaktor,,,,,rhythm generator,,,,,
Vintage Vibe Electric Piano,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Vintage Vibe Marquis 73,,,,,,,
Vintage Vibe Tine Bass,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Vintage Vibe Tine Bass,,,,,,,
Vintage Vibe Vibanet,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Vintage Vibe Vibanet,,,,,,,
Violin Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Hofner 500/1 Violin Bass,(1956),"4 Strings (hollowbody); Passive, Violin BSC + NSC,",(60s pop),,,,
Vocal Collection,Spectrasonics,"Bass, Synth, Keyboards, Pads & Textures, Vocal","Bass, Keyboards, Pads & Textures, Synth, Vocal",,,,Omnisphere,,,,,,,,,,
Vocoder V,Arturia,Synth,Synth,"Plugin, Standalone",Voice,Voice,,1.6.5.6366,"AU, VST3",,(1970s/1980s),,,,,,
VOX Continental V2,Arturia,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,2.13.4.6366,"AU, VST3",Vox JMI Vox Continental,,,,,,,
VOX Super Continental,Korg,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,1.2.1,"AU, VST3",Vox JMI Vox Continental,,,,,,,
