Model Name,Vendor,Type,Column 11,Link,Description,Founder,Year,Recording notes,Artists,Clone Notes
Mind Bender,BBE,"Modulation, Stomp","Modulation, Stomp",,"dual-mode analog chorus/vibrato pedal using BBD (Bucket Brigade Delay) technology to produce lush, vintage-style modulation. Designed with guitarist Will Ray, it emulates the Boss VB-2 and Way Huge Blue Hippo",,,,,
Opto Stomp,BBE,"Dynamics, Stomp","Dynamics, Stomp",,"ruggedly built, ""soft-knee"" optical compressor pedal designed for guitar and bass,",,,"providing transparent, vintage-style compression with simple volume and threshold controls. It is valued for maintaining low/high-frequency integrity and offering a smooth, natural feel, though some versions are reported to have potential, minor audible artifact",,
Soul-Vibe SV-74,BBE,"Modulation, Stomp","Modulation, Stomp",,Uni-Vibe-style rotary speaker simulator pedal f,,,,,
Ultravoice XM8500,Behringer,Microphone,Microphone,Ultravoice XM8500,Small Dynamic Cardioid Vocal Microphone,,,vocal,,
Cartographer,Ben Adrian,Amp & Cab,Amp & Cab,Ben Adrian Cartographer,"A 1977 Traynor YBA-1 modded by Ben Adrian. (This is modeled by Ben Adrian, not his pedal company Benadrian Pedals) ",Ben Adrian,2013,,,
Cartographer Cabinet,Ben Adrian,Amp & Cab,Amp & Cab,Ben Adrian Cartographer,4x12 cabinet modified by Lee Jackson for Ben Adrian. Comes w/ Celestion C90 or Eminence Governor Speakers. ,Lee Jackson,,,,
KWB (Kowloon Walled Bunny) ,Benadrian,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",KWB (Kowloon Walled Bunny) ,,Ben Adrian,2007,,,
NV412,Bergantino,Amp & Cab,Amp & Cab,,4x12 bass cabinet; preferred by many bass players over the industry standard Ampeg SVT810E ,,,"more focused sound , but a bit thinner than the Ampeg SVT810E; often easier to work with in a mix.",,
M160,Beyerdynamic,Microphone,Microphone,M 160,Dynamic double-ribbon microphone (hypercardioid),,,"(compact) drums, guitars, strings. hyper-cardioid provides excellent off-axis rejection [ guitar amp, drum OH, kick ] Commonly used in England for ""big silky tone"" fo rloud guitar amps. Captures less high end. ",Drums on Led Zeppelin (When the Levee Breaks) ,
M500,Beyerdynamic,Microphone,Microphone,,"ribbon; (Referred to as ""Dynamic Ribbon"", but all Ribbons are Dynamic) ",,,,,
M500 Limited Edition Classic (Silver),Beyerdynamic,Microphone,Microphone,,"ribbon; (Referred to as ""Dynamic Ribbon"", but all Ribbons are Dynamic) ",,,,,
M88,Beyerdynamic,Microphone,Microphone,M 88,Dynamic moving-coil microphone (hypercardioid),,,"""all-purpose"". Smooth, even sound. Low-mid richness + high freqeuncy clarity [vocals bass guitar amp, toms ]",Phil Collins,
M88TG,Beyerdynamic,Microphone,Microphone,M 88 TG,Dynamic Microphone (Hypercardioid),,,,,
MC834,Beyerdynamic,Microphone,Microphone,,large condenser,,,"Vocals, piano, strings, brass, voice-overs",,
Echorec 2 T7E,Binson,Delay,Delay,Binson Echorec,"legendary Italian magnetic drum delay unit. Unlike tape delays, it uses a rotating magnetic drum,",,1950s-70s,"renowned for its warm, rhythmic echoes.  Drum providing a unique, lo-fi, and swirling sound","Pink Floyd (David Gilmour), Beatles",
Artisan,Blackstar,Amp & Cab,Amp & Cab,Blackstar Artisan,4x12 Cab w/ Celestion Vintage 30s. [ 412A = Angled / 412B = Straight],,,,,
Blackbird 50,Blackstar,Amp & Cab,Amp & Cab,,"Custom designed 12""/50W speaker used in their HT series. NOTE: not an official designation. ",,,(Compared to Celestion G12-100AVT or Vintage 30s),,
Blackfire 200,Blackstar,Amp & Cab,Amp & Cab,"Blackfire 200
Blackfire 200 Manual","200W head. KT88 (4), ECC83 (4), ECC82 (1)",,,,Gus G,
Dept 10 Amped 3,Blackstar,"Amp & Cab, Harmonic Coloration, Reverb, Preamps & DI","Amp & Cab, Harmonic Coloration, Preamps & DI, Reverb",Dept 10. Amped 3,100W pedal-based multi-channel amp. ,,,,,
HT METAL 5,Blackstar,Amp & Cab,Amp & Cab,HT METAL 5,"5-watt, all-tube guitar amplifier designed for studio recording and home practice, featuring ECC83 and 12BH7 tubes, 2 channels (Clean/Overdrive), and the Infinite Shape Feature (ISF) control for British to American tones. NOTE: Combo version - Blackbird 50. Has a switch that enables a 4x12 emulation output. ",,,,,
Series One 412,Blackstar,Amp & Cab,Amp & Cab,Blackstar Series One Cabinets,4x12 Cab w/ Celestion Vintage 30s. [ 412A = Angled / 412B = Straight],,,,,
St. James,Blackstar,Amp & Cab,Amp & Cab,Blackstar St. James,100W Valve Amp. [Comes w/ EL34(2) and 6L6(2). It can be toggled into 50W mode w/ one or the other or combined for full 100W],,,,,
Blueberry,Blue,Microphone,Microphone,Blueberry,"large-diaphragm, side-address cardioid condenser microphone with a transformer-coupled output. It was Blue’s first solid-state microphone.",,,,,
Bluebird,Blue,Microphone,Microphone,Bluebird,Studio cardioid large Condenser Recording Microphone,,,,,
Mouse,Blue,Microphone,Microphone,Mouse,large cardioid condenser,,,,,
The Bottle (B6 Capsule) ,Blue,Microphone,Microphone,The Bottle (B6 Capsule) ,"interchangeable capsules. (Listed as ""Vacuum Tube"" Condenser). Detachable capsule large tube consdenser mic",,,,,
212C,Bogner,Amp & Cab,Amp & Cab,212C,120W 2x12 Default Drivers: Celestion Vintage 30,,,,,
Cube Cab (2x12) M75 Scumback,Bogner,Amp & Cab,Amp & Cab,Scumback M Series Speaker,Scumback M75 65 Watt Speakers,,,,,
Ecstasy 101B,Bogner,Amp & Cab,Amp & Cab,Bogner Amps,"flagship 100W head. EL34 tubes. 3 ch (Clean, Blue, Red) ",,,"The Blue channel is known for lower-to-mid gain, ""woody"" overdrive, while the Red channel offers thick, high-gain distortion suitable for modern rock and metal. staple for professional guitarists needing to cover a vast spectrum of gain with a single, reliable amplifier, particularly in studio environments; Joe Satriani",,
Ecstasy 3534,Bogner,Amp & Cab,Amp & Cab,Bogner Amps,"35W version of 101B. EL34 tubes. 3 ch (Clean, Blue, Red) ",,,"The Blue channel is known for lower-to-mid gain, ""woody"" overdrive, while the Red channel offers thick, high-gain distortion suitable for modern rock and metal. staple for professional guitarists needing to cover a vast spectrum of gain with a single, reliable amplifier, particularly in studio environments",,
Goldfinger 45,Bogner,Amp & Cab,Amp & Cab,,45W,,,,,
Shiva,Bogner,Amp & Cab,Amp & Cab,,80W 2 Ch. 4 x12AX7 (Preamp) 2 x EL34 (Power) w/ Celestion Classic Lead 80 1x12 speaker,,,,,
