Model Name,Vendor,Type,Column 11,Link,Description,Founder,Year,Recording notes,Artists,Clone Notes
MEQ-5 Mid-Range EQ,Pultec,EQ,EQ,Pultec MEQ-5,"Famous American 3-band tube amp passive PEQ circuit design. (2 bands of boost w/ 1 cut). band overlap / filter injection. Mid Range.  ""fat and punchy"" preamp stage",,,"Guitars, vocals, horns, strings, keyboards, snares, toms, anything with significant midrange that requires complex contouring; richly colorful companion of EQP-1A . maximizes ""power region'"" where guitars/vocals can make or break a mix",,
5060 Compressor,Pye,Dynamics,Dynamics,Pye Compressor,,,,Eddie Kramer (London's Olympic Studios) ,,
Jaguar 12-inch 50W,Randall,Amp & Cab,Amp & Cab,,"12"" 50W high-efficiency guitar speaker (Believed to be manufactured by Eminence)",,,"associated w/ 1980s solid state Randall sound. Solid-state, tight, punchy tone suitable for heavy metal and high-gain rock. Known for a ""gutsy,"" wide-ranging, and very loud sound, with tight, firm cone construction. They offer a relatively flat or neutral response compared to some vintage British speakers, making them great for high-gain applications.",Darrell Abbott,
RD45,Randall,Amp & Cab,Amp & Cab,RD45,RD = Randall Diavlo,,,,,
RG100ES,Randall,Amp & Cab,Amp & Cab,RG 100 ES Manual,,,,,Darrell Abbott,
RX412 ,Randall,Amp & Cab,Amp & Cab,RX412 ,200W closed back straight 4x12. RX tone circuit  Randall Jaguar 12-inch 50W,,,ideal for metal enthusiast,Darrell Abbott,
412JB,Randall,Amp & Cab,Amp & Cab,,G12H-100W Celestions,,,,Darrell Abbott,
Satan,Randall,Amp & Cab,Amp & Cab,Satan Manual,,Ola Englund,,,,
Thrasher,Randall,Amp & Cab,Amp & Cab,Thrasher,,,,,,
V2,Randall,Amp & Cab,Amp & Cab,,,,,,,
Warhead WH300,Randall,Amp & Cab,Amp & Cab,Warhead WH300 Manual,,,,,Darrell Abbott,
44,RCA,Microphone,Microphone,"RCA 44
RCA 44 (Wiki) ","""the"" classic ribbon mic. figure 8 velocity ribbon mic.  iconic mic used for broadcats, studio and live sound. Stong off-axis rejection and smooth tone. ",,1933,"(vintage, smooth, warm) vocals, horns",,
44BX,RCA,Microphone,Microphone,"44BX
RCA 44 (Wiki) ",classic ribbon mic,,,"popular in early days at EMI/Abbey Road. (Not used by Beatles); staple for broadcasting BX has higher output than previous versions. Warmer. low-mid range complexity, subdued high frequencies. ",,
77-DX (Satin),RCA,Microphone,Microphone,77DX,unique multipattern ribbon mic. ,,,"One of most iconic mics of all time. Voiceovers, Vocals and brass instruments","David Letterman, Larry King, Bing Crosby, Ray Charles, Frank Sinatra, Elvis Presley, B.B. King, Johnny Cash",
77-DX (Umber),RCA,Microphone,Microphone,77DX,unique multipattern ribbon mic. ,,,One of most iconic mics of all time. Vocals and brass instruments. Substantially darker / smoother than satin model.,"David Letterman, Larry King, Bing Crosby, Ray Charles, Frank Sinatra, Elvis Presley, B.B. King, Johnny Cash",
BK5A,RCA,Microphone,Microphone,BK5A,cardioid ribbon mic; uniaxial,,,,,
KU-3A,RCA,Microphone,Microphone,KU-3A,"Cardioid ribbon mic. Designed/built in Hollywood, CA for the movie industry. ""10001"". one of the rarest ribbon mics. Supposedly hand-built in Hollywood, CA by RCA  tech Charles Gant specifically for movies. Only about a hundred  were ever made, providing an “impressionistic” sound useful within a multi-pair setup.",,,,,
Concertmate MG-1,Realistic,"Synth / Samplers, Bass","Bass, Synth / Samplers",Concertmate MG-1,"Radio Shack branded clone of the Moog Rogue (More features, and cheaper!) ",,1981,,"Peter Gabriel, Stereolab, KMFDM",
4x12 Pro Cab,RedSeven,Amp & Cab,Amp & Cab,4x12 Pro Cab,premium closed-back 4x12 cab 2x Celestion Vintage 30s and 2 x Celestion G12H-75 Creambacks in an X pattern. ,,,"punchy, articulate, precise tones",,
Hybrid 100,RedSeven,Amp & Cab,Amp & Cab,Hybrid 100,"3ch head blending the RedSeven ""Duality 100"" and ""Leviathan"" amplifiers. KT88",,,"Clean Channel: inspired by early ‘60s single channel amplifiers. Volume, gain, high, middle and bass and a bright switch.
Vintage Channel: is a completely reworked channel (now something between original Duality100 Vintage channel and Leviathan CH1), act to start from a moderate to a very tight and percussive gain content. Sounds palette are easily manageable from a semi-clean tone to a very powerful crunch with just your right hand. Volume, treble, middle, bass, gain, bright switch, and lead boost;
Modern Channel: is derived from Leviathan CH2, and it’s tight, three-dimensional, rich and full of harmonic content. Volume, treble, middle, bass, gain, bright switch, and lead boost;",,
Y7,Requisite,Preamps & DI,Preamps & DI,,Rare tube mic preamp DI; predecessor to PAL,,,,,
Generator 120,Revv,Amp & Cab,Amp & Cab,Generator 120,,,,,,
4003,Rickenbacker,Bass,Bass,Model 4003,,,,,,
RMC1,RMC (Real McCoy Custom),"Modulation, Stomp","Modulation, Stomp",RMC1 ,Wah pedal,,1998,,,
Hush IIB,Rocktron,"Dynamics, Stomp","Dynamics, Stomp",Rockotron Hush 2X,Stereo Noise Reduction. ,,,,Darrell Abbott,
NT1,Rode,Microphone,Microphone,NT1,Large-diaphragm condenser mic,,,,,
NT1-A,Rode,Microphone,Microphone,NT1-A,Industry standard large diaphragm condenser,,,"warmth and clarity. low noise, popular for vocals, acoustic instruments",,
NT2,Rode,Microphone,Microphone,NT2,large-diaphragm multi-pattern FET condenser mic. ,,,,,
NTV,Rode,Microphone,Microphone,NTV,fixed cardioid tube condenser mic. ,,,vocal,,
Axis Fuzz,Roger Mayer,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Axis Fuzz,,,1967,rich fill range quality fuzz tones with plenty of bottom end but that can also be used on chords and riffs. It cleans up very well from the guitar volume control and retains its large range of tone colours. ,Jimi Hendrix (Axis Bold as Love) ,
Classic Fuzz,Roger Mayer,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Classic Fuzz,,,,,Jimi Hendrix  (early recordings) ,
Octavia,Roger Mayer,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Octavia,,,,Doubling effect that produces a sound an octave higher,"Jimi Hendrix (Purple Haze, Fire, One Rainy Wish, Little Miss Lover, Little Wing, Machine Gun)",
AP-7 Jet Phaser,Roland,"Modulation, Stomp, Harmonic Coloration","Harmonic Coloration, Modulation, Stomp",,,,,,,
Cube 60,Roland,Amp & Cab,Amp & Cab,CUBE 60,60W 1x12; 9 COSM models Roland OEM Speaker,,,,,
GR700,Roland,"Stomp, Synth / Samplers, Pitch Tools","Pitch Tools, Stomp, Synth / Samplers",,"6-voice, programmable analog guitar synthesizer floor unit featuring a dual-oscillator engine",,1984,,Judas Priest,
IR3109,Roland,Modulation,Modulation,,Famous filter chip found in the Juno-60 and Jupiter-8,,,,,
JC-120 ,Roland,Amp & Cab,Amp & Cab,JC-120,(JC = Jazz Chorus) 2 channel; 120W 2x12 Roland OEM Speaker,,,,,
JD-200,Roland,Synth / Samplers,Synth / Samplers,"JD-200
JD-200 (Wiki)",24 voice polyphonic ROM-based synth (6 part multitimbral),,1991-96,"Famous for it's ""Crystal Rhodes"" patch (made by Eric Persing, President of Spectrasonics). ","Emerson, Lake and Palmer, Depeche Mode, Tangerine Dream, Vangelis, Pet Shop Boys, MC Hammer, Genesis",
JP-8000,Roland,Synth / Samplers,Synth / Samplers,JP-8000,,,,,Frankie Goes To Hollywood (Relax) ,
Juno-6,Roland,Synth / Samplers,Synth / Samplers,Juno-6,"analog, 6-voice polyphony. Much simpler / affordable version of Jupiter 8 ",,1980s,"warm; [pop, electronic, dance]",,
Juno-60,Roland,Synth / Samplers,Synth / Samplers,Juno-60,,,,,,
Jupiter-8,Roland,Synth / Samplers,Synth / Samplers,Roland Jupiter-8,polyphonic synth. ,,1981,"Fat, crystal. [pads, brass ]",Frankie Goes To Hollywood (Relax) ,
JX-10,Roland,Synth / Samplers,Synth / Samplers,JX-10 (Super JX) ,"12 voice ""dual JX-8Ps"" ",,1985,"rich, warm analog sound (Still in use / Popular)","Pink Floyd, Duran Duran, Angelo Badalamenti, The Cure",
JX-3P,Roland,Synth / Samplers,Synth / Samplers,"JX-3P
JX-3P (Wiki)",(3P = Programmable Preset Polyphonic) 6 voice polyphonic analog subtractive synth. Less popular than JUNO,,1983-85,,Stevie Nicks,
JX-8P,Roland,Synth / Samplers,Synth / Samplers,JX-8P,More advanced version of JX-3P. Nice sound (it had mechanical / playability challenges which shortened its life) ,,1985,,"Tangerine Dream, Depeche Mode, The Cure, Europe",
MK80 Rhodes,Roland,Keyboard,Keyboard,,Rhodes product line released by Roland after it was sold by Fender. Follow-up of MKS-20,,1987,Sounds nothing like a classic Rhodes. Wonderful brighter variation of MKS-20 sound. ,,
MKS20,Roland,Keyboard,Keyboard,,"Rhodes product line released by Roland after it was sold by Fender. Rackmountable digital piano module. Combined digital side of instrument w/ high-quality analog components and effects. ""Essential tool"" in the rack of every pro keyboardist. ",,1986,warmer sound than most other 80's keyboards (that were mostly digital). Features on hundreds of hit records throughout the 80s and 90s. ,,
RE-201 Space Echo,Roland,"Delay, Reverb","Delay, Reverb",Roland Space Echo,"3 head tape delay,  spring reverb (12 modes of operation) ",,1973,,,
RE-501 Chorus Echo,Roland,"Delay, Reverb, Modulation","Delay, Modulation, Reverb",Roland Space Echo,rackmountable version of RE-301 (which was the 201 w/ an added chorus effect) ,,1980,,,
RS-202 Strings,Roland,Keyboard,Keyboard,RS-202 Strings,String synth w/ highly regarded ensemble/chorus effect,,,,Jehtro Tull,
SDD-320 Dimension D,Roland,Modulation,Modulation,,"BBD Chorus (Rackmount) w/ 4 dimension modes and 1024 capacitor delay stages per channel; injects spatialization, sweet subtle modulation",,1979,,,
SDE-3000,Roland,Delay,Delay,SDE-3000,,,1980s,"unique, musical warmth, rich tone, and wide dynamic range",Eddie Van Halen; The Edge,
SH-2,Roland,Synth / Samplers,Synth / Samplers,SH-2,monophonic analog synth,,1978-89,,"Duran Duran, Groove Corporation, OMD, Men Without Hats, Eurythmics",
SH-5,Roland,Synth / Samplers,Synth / Samplers,SH-5,monophonic analog synth,,1976-81,,,
SH-7,Roland,Synth / Samplers,Synth / Samplers,SH-7,duophonic analog synth,,1978-81,,INXS,
TB-303,Roland,"Bass, Synth / Samplers","Bass, Synth / Samplers",Roland TB-303,self-seqencing bass synthesizer. Monophonic analog oscillator (sawtooth/square). LPF,,1981,,"Tame Impala (Breathe Deeper) , Daft Punk (Da Funk) Orange Juice (Rip It Up), Phuture (Acid Tracks), The KLF (What Time is Love?), Aayilah/Timbaland (Try Again), Fatboy Slim (Everybody Needs a 303)",
R121,Royer ,Microphone,Microphone,R121,Flagship Royer ribbon mic. Fixed figure 8 pattern. Set standard for ribbon mics. ,,,"electric guitar, brass. smooth top. Can sound aggressive and smooth at the same time. (rear is brighter than front) modern classic. ""guitar mic"". lots of bass, low midrange, smooth but lacking top end. Big and silky (like M160) but w/ more headroom for louder sources. 
TIP --> Paired w/ SM57 to add highs back into mix. Use HPF to eliminate rumble because it captures so much bass",,
R122,Royer ,Microphone,Microphone,R122,,,,bass,,
Oaklawn Kit,Camco,Drums,Drums,Oaklawn Kit,,,1967,,,
Stanton Moore Signature Cymbals,Bosphorous,Drums,Drums,,,,,,,
AAX,Sabian,Drums,Drums,AAX Cymbals,,,,,,
HHX,Sabian,Drums,Drums,HHX Cymbals,,,,,,
Onboard Bass Preamp,Sadowsky,Amp & Cab,Amp & Cab,Sadowsky Preamp,,,,,,
Glockenspiel Toy Piano,Schoenhut,Keyboard,Keyboard,,,,1900s,,"John Cage, George Crumb",
Rockman Sustainor,Scholz R&D,"Preamps & DI, Amp & Cab, Dynamics, Harmonic Coloration","Amp & Cab, Dynamics, Harmonic Coloration, Preamps & DI",Rockman Sustainor,,Tom Scholz,1982,,,
X100,Scholz R&D,Amp & Cab,Amp & Cab,X100,,Tom Scholz,,,,
Chimeatron,Schulmerich Bells,Keyboard,Keyboard,,"rare, modern take on the Carillon. ",,1930s,Popular in churches and theaters. ,,
e604,Sennheiser,Microphone,Microphone,e604,"Modern german mic; Compact dynamic cardioid instrument microphone that is compatible with toms, snares, and percussion",,,[ snare top / toms ],,
e609,Sennheiser,Microphone,Microphone,e609,Dynamic super-cardioid microphone,,,,,
e835s,Sennheiser,Microphone,Microphone,e835,large diaphragm dynamic Cardioid Microphone,,,lead/backup vocals,,
e906,Sennheiser,Microphone,Microphone,e906,premium dynamic microphone designed for guitarists who demand authentic tone with the flexibility to fit any style,,,guitar; transparent,,
MD409N (Echolette ES-14),Sennheiser,Microphone,Microphone,MD409N (Echolette ES-14),dynamic microphone; rebranded by Echolette. ,,,"guitar, vocals, toms. More color than modern versions",Pink Floyd (Live at Pompeii) ,
MD409U3,Sennheiser,Microphone,Microphone,MD409U3,dynamic microphone,,1980s,"shines on electric guitar. smooth top end [ vocals, toms, guitar amp ]",,
MD421,Sennheiser,Microphone,Microphone,MD421,large cardioid dynamic mic,,1960s,"drums, guitars, vocals, bass amps, kick/toms, brass instruments.  More colored sound. Warmer than modern.  (common favorite for recording bass amps) Top choice for '70s guitars. Warm for ""huge"" sounding guitars. Great at capturing transients. Extra bottom / softer top compared to SM57",Tool (Undertow) - Toms. ,
MD421 II,Sennheiser,Microphone,Microphone,MD421 II,large cardioid dynamic mic; black,,," brighter / modern [ toms, guitar / bass amps ]",,
MD441,Sennheiser,Microphone,Microphone,MD441,Dynamic super-cardioid microphone; Designed to simulate the sound of a condenser mic,,,"Classic, used on countless records. Well-balanced natural sound. [ Vocals, snare top and bottom, guitar amps ]","Fleetwood Mac, Tom Petty, Tame Impala",
ME64,Sennheiser,Microphone,Microphone,ME64,Back-electret microphone capsule suitable for K6 and K6P powering modules. shotgun cardioid condenser,,,,,
MKH20,Sennheiser,Microphone,Microphone,MKH20,Omni-directional RF condenser microphone,,,Ideal as a main microphone for orchestras and solo instruments. Picks up the natural acoustics of the room. provides rise in directionality at high frequencies.,,
MKH405,Sennheiser,Microphone,Microphone,MKH405,early RF capacitor microphone design.,,,,Beach Boys (Drum OH on Good Vibrations)  (Countless Hit Records) ,
MKH416,Sennheiser,Microphone,Microphone,MKH416,Short shotgun interference tube mic,,,"industry standard shotgun mic. (Voiceover, ADR) go-to mic for big voice-over Hollywood sound, broadcast, TV, film. ",Steven Tyler,
Prophet VS,Sequential CIrcuits,Synth / Samplers,Synth / Samplers,Prophet VS,pioneered vector synthesis (similar to wavetable synthesis) - 8 voice.,Dave Smith,1985,,,
Prophet-5,Sequential CIrcuits,Synth / Samplers,Synth / Samplers,"Sequential Prophet-5
Prophet-5 (Wiki) ",first programmable polyphonic synth. (5 voices)  ,Dave Smith,1978-84,,,
805,Seymour Duncan,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",805,classic overdrive w/ 3 band-EQ,,,,,
Convertible,Seymour Duncan,Amp & Cab,Amp & Cab,Convertible,"100W (or 60W) tube amp w/ modular preamp design. 12AX7, EL34 (4). Celestion Sidewinder 12",,1984-92,,,
SFX-02 Tweak Fuzz,Seymour Duncan,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",,analog boutique-style fuzz pedal. ,,,,,
SFX-08 Power Grid,Seymour Duncan,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",,"high-gain, solid-state distortion pedal designed for versatile, amp-like tones",,,,,
Shape Shifter,Seymour Duncan,"Modulation, Stomp","Modulation, Stomp",Shape Shifter,stereo tremolo pedal,,,,,
Mastering Compressor,Shadow Hills,Dynamics,Dynamics,Shadow Hills Mastering Compressor,2-channel op-amp mastering compressor,Peter Reardon,2008,,,
Filterbank,Sherman,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Filterbank,powerful analog filtering + distortion unit w/ a huge frequence range and a TUBE overdrive behavior,,,,,
Companion FY-2,Shin-ei,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Companion FY-2,Extremely rare fuzz pedal [NOTE: Wattson Classic Electronics makes a great clone ],,1960s-70s,raw distinctive gated fuzz. ,"Dan Auerbach (Black Keys), Colin Greenwood (Radiohead), Stephen Morris (Joy Division, New Order) ",
Uni-Vibe,Shin-ei,"Modulation, Stomp","Modulation, Stomp","Uni-Vibe
Uni-Vibe","""Honey Vintage Speed Control Foot Pedal"". Analog / Optical, LFO-driven phase / Chorus 

NOTE: The effect was originally called ""Vibra-Chorus"". It was re-released in the US by Univox in 1968",,1960s-70s,,Jimi Hendrix,
545SD,Shure,Microphone,Microphone,545SD,"(mid/late 60s) First mic to use Unidyne III capsule; predecessor to SM57. dual-impedance, unidirectional, small diaphragm dynamic microphone.",,,Beach Boys (Pet Sounds - Brain Wilson's lead vocal); 1969 Woodstock Festival. ,,
"Beta 52
Beta 52A",Shure,Microphone,Microphone,Beta 52A,Supercardioid dynamic mic designed for kick drum. (Beta 52A differences were cosmetic) ,,,"American kick drum mic. Deep low freq. extension w/ a nice balanced sound [ kick, bass amp ]",,
Beta 57A,Shure,Microphone,Microphone,Beta 57A,Uniform supercardioid dynamic instrument mic,,,,,
Beta 58,Shure,Microphone,Microphone,Beta 58A,Uniform supercardioid large dynamic vocal mic,,,vocals,,
Beta 87A,Shure,Microphone,Microphone,Beta 87A,supercardioid hand-held electret condenser vocal microphone,,,vocals,,
Beta 98D/S,Shure,Microphone,Microphone,Beta 98D/S,Mini drum condenser,,,Snare / Tom Mic,,
KSM141,Shure,Microphone,Microphone,KSM141,"dual-pattern end-addressed condenser microphone with a rotating collar, allowing easy switching between a consistent cardioid or true omnidirectional polar pattern for smooth and extremely focused sound reproduction.",,,"(acoutic instruments, overheads) ",,
KSM32,Shure,Microphone,Microphone,KSM32,"embossed single-diaphragm, side-address, cardioid condenser microphone",,,,,
Level-Loc,Shure,Dynamics,Dynamics,Shure Level-Loc,"M62 and M62V (added input knob). Audio level destroyer. Aggressive dynamic (compressor / limiter)  for ""massive drums"" . Consumer-grade brickwall limiting amp designed to keep audio in PA system level. ",,1960s,,,
Model 55,Shure,Microphone,Microphone,Shure 55SH,"""The Elvis Mic""",,,,,
SM57,Shure,Microphone,Microphone,SM57,Uniform cardioid instrument mic.  best selling studio mic of all time. Studio workhorse,,1965,"snare, guitars, vocals, bass.  Great when blended w/ other mics (ribbons and LD condensers to achieve balanced sound) [Snare top/bottom, guitar amp ] Standard for guitar amps due to upper midrange bump that makes guitars stand out. Internal transformer rolls off bottom end, so no matter how much a guitarist dials in, it never  overloads the mix.  familiar bass roll-off + mid range presence",,
SM58,Shure,Microphone,Microphone,SM58,unidirectional (cardioid) dynamic designed for voice. ,,,legendary vocals (live),,
"SM7A
SM7B",Shure,Microphone,Microphone,"SM7A Manual
SM7B ",professional cardioid dynamic microphone. Improvement over SM7 w/ humbucking coil  (Very little difference between SM7A and SM7B) ,,,"widely used for broadcasting and vocals.  [ Voiceovers, vocals, snare bottom, guitar amp ]",Michael Jackson (Thriller) ,
SM80,Shure,Microphone,Microphone,SM80,small omnidirectional condenser; broad reach and a uniform frequency range,,1982-89,,,
SM81,Shure,Microphone,Microphone,SM81,Cardioid condenser instrument microphone,,,,,
SM98A,Shure,Microphone,Microphone,SM98A,miniature cardioid electret condenser microphone designed for high-SPL instrument miking,,,"drums, percussion",,
VP88,Shure,Microphone,Microphone,VP88,"single-point, stereo condenser microphone",,,"studio recording, field production, electronic news gathering (ENG), and studio broadcasting",,
W295,Siemens,EQ,EQ,Siemens W295,"Bridge impedance, fully discrete class-A push-pull output EQ (West Germany) Boutique, vintage German 3 Band EQ (Discrete silicon transistor) w/ satruation control",,1970s,"Colorful, sweet, round. ""Neve / Pultec of Germany"" . Designed for radio station use. ",,
1457,Silvertone ,Amp & Cab,Amp & Cab,,Jensen C8R,,1963-68,,,
1471,Silvertone ,Amp & Cab,Amp & Cab,,"5W 1x8 6V6 tube amp w/ built-in trem. Danelectro built for Sears Danelectro OEM 8"" alnico",,1970s,"very raw, very garage",,
Twin Twelve 1484,Silvertone ,Amp & Cab,Amp & Cab,,"60-watt, 2x12 tube guitar amplifier produced by Danelectro for Sears between 1963 and 1967. Known for its gray ""wallpaper"" finish, this iconic, affordable 1960s amp features 6L6 power tubes, a 2x12 cabinet built-in tremolo/reverb, and a unique, mid-forward tone favored by artists like Jack White Default Driver: Jensen C12Q (or Fisher 12-4L)",,,,,
Celeste,Simone Brothers,Keyboard,Keyboard,,NY-manufactured. Celestes were descended from the Dulcitone. Tuning forks were replaced w/ metal bars like a Glockenspiel. ,,1940s,"Mellower sound than European celestes. Named for ""celestial, heavenly sound"". Mellower than the ""Glockenspiel""","Tchaikovsky's ""The Nutcracker"", Mr Roger's Neighborhood. Beatles",
Colorsound Wah Wah,Sola Sound,"Modulation, Stomp","Modulation, Stomp",,Wah,,,"known for its wide, vocal-like sweep, pronounced midrange, and inductorless circuit design. These vintage-style pedals, often featuring a steel, hammertone-finished enclosure, offer a raw, throaty growl popular in rock and funk",,
4x12 Slant Classic,Soldano,Amp & Cab,Amp & Cab,4x12 Slant Classic,4x12 Angled closed back cab Celestion Vintage 30,,,,,
Hot Rod 50,Soldano,Amp & Cab,Amp & Cab,,"50W 2-ch (normal / overdrive) more accessible, less compressed version of SLO-100. 2 x 5881/6L6 power",,,"Signature high-gain, Marshall-style tones w/ exceptional clarity",,
SLO-100,Soldano,Amp & Cab,Amp & Cab,SLO-100,,,,,,
SLO-30,Soldano,Amp & Cab,Amp & Cab,SLO-30,,,,,,
SP77,Soldano,Amp & Cab,Amp & Cab,,,,,,,
Designer,Sonor,Drums,Drums,Sonor Drums,,,,,,
MES-432C,Sontec,EQ,EQ,Sontec MES-432C,"""golden reference standard"" of mastering EQ. 3 bands of totally independent fully parametric op-amp EQ. (transformerless design). Highly transparent.  ",,,,,
C37A,Sony,Microphone,Microphone,C37A,6AU6 tube. Multi-pattern tube condenser mic,,1955,"Darker sound (good for taming sibilance and harsh high-end) [ toms, snare]. Warmer, smoother sound compared to other condensers. (favorite for OH, toms, excels at vocals and guitars) elevated, refined sound w/ moderate proximity characteristics","Frank Sinatra, Nat King Cole, Jimi Hendrix",
C37P,Sony,Microphone,Microphone,C37P,variable directivity FET tube condenser. FET version of C-37A. ,,,Brighter (freshen up boring/dull source material),,
C48,Sony,Microphone,Microphone,C48,mulit-pattern dual large diaphragm FET condenser mic,,,,,
C55P,Sony,Microphone,Microphone,C-55FET and C-55P,unidirectional cardioid small diaphragm condenser,,,"""most underrated mic o fall time""  [Allen' Sides go to for acoustic guitar] ",,
C800G,Sony,Microphone,Microphone,C800G,large tube studio condenser,,,"clarity, presence (pop, hip-hop vocals) modern pop, hip hop sound [vocals, acoustic guitar, strings]",Mariah Carey,
C800G (Prototype) ,Sony,Microphone,Microphone,C800G,large tube studio condenser; prototype version of Sony C800G (Allen Sides was involved in the development of the microphone.) Slightly warmer than production versions. ,,,"clarity, presence (pop, hip-hop vocals) modern pop, hip hop sound [vocals, acoustic guitar, strings]","Faith Hill, Ron Isley, Mary J. Blige, Stevie Wonder, Burt Bacharach, Brian Setzer",
Oxford OXF-R3,Sony,Console,Console,"Sony OXF-R3 Console
OXF-R3
Sonnox Oxford Range Plugins","high-end digital mixing console released in the mid-1990s, used primarily for professional studio tracking, mixing, and mastering, particularly for projects requiring high track counts and 5.1 surround sound",,1990s,"Peter Gabriel. Pristine, transparent sound. ",,
Custom Build Mk III,Sound City ,Amp & Cab,Amp & Cab,,,,,,,
"Sound City Studios, Los Angeles",Sound City Studios,Studio,Studio,"Sound City
Sound City Studios","Sound City Studios Studio A (world's most famous rock studio) 2 modes (Re-Mic, Reverb) ",,1969,,,
U95S,Soundelux,Microphone,Microphone,U95S,Mulit-pattern medium tube condenser mic. (Upgrade of U95),,,,,
017 Tube,Soyuz,Microphone,Microphone,017 Tube,"Large diaphragm condenser tube mic.K67 style capsule, ",,,U47 like-sound w/ higher-freq. Becoming a very popular mic,"Tool, System of a Down, Coldplay",
Stereo Vitalizer MK2-T,SPL (Sound Performance Lab) ,Spatial Processing,Spatial Processing,SPL Stereo Vitalizer Mk2-T SPL Stereo Vitalizer Mk2-T,"enhancer + psychoacoustic EQ (saturation, compression, EQ, Stereo Expander",,,,,
Transient Designer,SPL (Sound Performance Lab) ,"Dynamics, EQ","Dynamics, EQ","Transient Designer 2
Transient Designer",level-independent shaping of envelopes (track / transient specific dynamics processor),,1998,Michael Jackson,,
Transpressor Transient Designer (Model1080),SPL (Sound Performance Lab) ,"Dynamics, EQ","Dynamics, EQ","SPL Transpressor
SPL Transpressor ",Combines the Transient Designer w/ a Compressor,,,,,
TwinTube,SPL (Sound Performance Lab) ,Harmonic Coloration,Harmonic Coloration,SPL TwinTube Processor,independent tube saturation and tube harmonic processing,,,"vocals, acoustic guitars",,
Vitalizer MK3-T,SPL (Sound Performance Lab) ,Spatial Processing,Spatial Processing,"SPL Vitalizer Mk3-T Sound Designer
SPL  Vitalizer Mk3-T","enhancer + psychoacoustic EQ (saturation, compression, EQ, Stereo Expander",,2024,,,
4000E Channel Strip,SSL (Solid State Logic) ,Channel Strip,Channel Strip,SSL 4000 Series Console,"(1979) 4 band-EQ (op-amp) ; 2 types (""brown knob"" 02 EQ [ classic SSL EQ / filter sound -- for rock and pop - good on drums / bass]; 1983 ""black knob"" 242 EQ [ cleaner / open EQ suited for vocals acoustic instruments] ); SSL VCA Compressor / Limiter, Expander / Gate ",,1979,,,
4000G Bus Compressor,SSL (Solid State Logic) ,Dynamics,Dynamics,SSL 4000 Series Console,"VCA circuit stereo / mastering / 2-bus compressor ""the glue"" . ",,1980s/90s,"Pop and Rock; common on mix bus or drums sub-master. Punchy + bold It was used on practically every hit record and major production from the ’80s to present days, so much that its sound has almost become a trademark. This compressor was so widely used that it later became a stand-alone rackmount unit so that it could be used separately from the large format console.",,
4000G Channel Strip,SSL (Solid State Logic) ,Channel Strip,Channel Strip,SSL 4000 Series Console,"4-band 383 EQ w/ LPF/HPF and compressor, gate / expander sections based on SSL G. Evolution of SSL E. ",,,"Very popular w/ Hip Hop, R&B",,
9000,SSL (Solid State Logic) ,Console,Console,,,,,Cleaner and more transparent than 4000G,,
EQ292,SSL (Solid State Logic) ,EQ,EQ,SSL 4000 Series Console,Rackmountable version of SSL 4000G  4-band EQ,,,,,
Model B,Steinway,Keyboard,Keyboard,Steinway Model B,classic grand piano,,,,,
Hamburg D-274,Steinway & Sons,Keyboard,Keyboard,,9' concert grand piano. ,,1958,"Unlike NY D-274, these were designed more as a substitute for an orchestra. More commonly used in smallher halls w/ more ideal acoustics. (i.e. no orchestra, piano only) ","Lang Lang, Emanuel Ax, Hélène Grimaud, Leif Ove Andsnes, and Sergei Rachmaninoff",
New York D-274,Steinway & Sons,Keyboard,Keyboard,,"9' concert grand piano. ""Overwhelming choice of the world's greatest pianists"". Largest and most popular model from Steinway",,1884,Oriented towards a bell-like tone w/ huge projection to cut through a 100-piece orchestra and fill larger halls. ,Vladimir Horowitz,
RX4000,Stocktronics,Reverb,Reverb,,Swedish stainless steel plate reverb. 250 unites ever made. ,Lars Lijeryd,,"Bright w/ tons of cahracter. Brings a ""dark sounding vibe"" to an arrangement by rolling off its brightness. ",,
Big Sky Multi Reverb,Strymon,"Reverb, Stomp","Reverb, Stomp",Big Sky Multi Reverb,,,,,,
Deco,Strymon,"Harmonic Coloration, Stomp, Delay","Delay, Harmonic Coloration, Stomp",,Tape Saturation and Doubletracker Delay. Emulates classic reel-to-reel tape saturation and effects,,,,,
Sunset,Strymon,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Sunset Dual Overdrive,,,,,,
A80 Mk II,Studer,Tape Machine,Tape Machine,"Studer A80 MkII
Studer Analog Recording Archive","2"", 24 track servo-controlled tape emulation. (Switzerland). Standard for professional high-end multitracking",,1970,Flat frequency response,,
A800,Studer,Tape Machine,Tape Machine,Studer A800 Archive,"Most popular multichannel tape machine. 2"" analog tape saturation. ",,1978,"Warm sound, solid / punchy low end. ",,
