Name,Manufacturer,Category,Sorted Category,Tags,Sorted Tags,Parent,Model,Series / Collection,Plugin Notes,Workflow Notes,Recording Notes,Form Factor,Format,Version,,,,,,,,,
TLM 103,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Neumann TLM103,,,Neumann TLM103 ALT (Tone),,,,,,,,,,,,,
TLM 193,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Neumann TLM193,,,,,,,,,,,,,,,,
Type 4007,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Bruel & Kjaer Type 4007,,,,,,,,,,,,,,,,
U-47,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Telefunken U47,,Modeled w/ Original Tube,,,,,,,,,,,,,,
U47,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Neumann U47,,,Neumann U47 ALT (Tone),,,,,,,,,,,,,
U87,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Neumann U87,,,Neumann U87 ALT (Tone),,,,,,,,,,,,,
U87 70th Anniversary Gold Edition,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Neumann U87,,70th Anniversary Gold Edition,Neumann U87 ALT (Tone),,,,,,,,,,,,,
U89i,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Neumann U89i,,,,,,,,,,,,,,,,
U95S,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Soundelux U95S,,,,,,,,,,,,,,,,
Ultravoice XM8500,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Behringer Ultravoice XM8500,,,,,,,,,,,,,,,,
Valvet,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Brauner Valvet,,,,,,,,,,,,,,,,
VM1,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Brauner VM1,,,Brauner VM1 ALT (Tone),,,,,,,,,,,,,
VP88,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Shure VP88,,,,,,,,,,,,,,,,
VSM1,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,CAD VSM1,,,,,,,,,,,,,,,,
Z30x,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Earthworks Z30X,,,,,,,,,,,,,,,,
Mic Mod,Antares,Microphone,Microphone,,,,,,,,,Plugin,"AU, VST3",4.5.0.71,,,,,,,,,
Freezr,Audiomodern,"Delay, Time / Phase","Delay, Time / Phase",,,,,,Creative stutter sequencer freezes segments of audio in real-time for expressive manipulation during performance. ,,,"Plugin, Standalone","AU, VST3",1.0.4,,,,,,,,,
Melodyne Editor,Celemony,"Pitch, Time / Phase","Pitch, Time / Phase","Mastering, Restoration, Voice","Mastering, Restoration, Voice",,,,"Advanced polyphonic pitch, timing, and formant correction with note-level audio editing.",,,"Plugin, Standalone","AU, VST3",5.4.2,,,,,,,,,
TriceraChorus,Eventide,Modulation,Modulation,,,,,,3-voice BBD based chorus/detune based on stompbox choruses,,1970s-80s sound,Plugin,"AU, VST3",1.3.5,,,,,,,,,
Temperance Lite,Eventide,Reverb & Room,Reverb & Room,,,,,,Modal Reverb w/ 3 spaces,,LOW DSP,Plugin,"AU, VST3",1.0.8,,,,,,,,,
Precision Time Align,Eventide,"Time / Phase, Delay","Delay, Time / Phase",Restoration,Restoration,,,,sub-second delay w/ time sync,,"surgical restoration tool for cases where you need extreme precision and manual control — fixing multi-mic drum recordings, double-tracked guitars, forensic timing correction",Plugin,"AU, VST3",3.11.4,,,,,,,,,
Blackhole,Eventide,Reverb & Room,Reverb & Room,Modeled,Modeled,,"Eventide DSP4000 Ultra-Harmonizer
Eventide H8000
Eventide Space",,Reverb preset from multiple Eventide hardware units,,,Plugin,"AU, VST3",3.11.4,,,,,,,,,
Crush Station,Eventide,Harmonic Coloration,Harmonic Coloration,Guitar,Guitar,,,,octave overdrive saturation / distortion,,,Plugin,"AU, VST3",1.4.4,,,,,,,,,
Crystals,Eventide,"Delay, Pitch, Reverb & Room","Delay, Pitch, Reverb & Room",,,,,,"Classic Eventide effect combining twin reverse pitch shifters, delays, feedback and reverb",,,Plugin,"AU, VST3",1.3.4,,,,,,,,,
DeBoom,Eventide,EQ,EQ,Restoration,Restoration,,,,"Corrective low-frequency EQ; 
STRUCTURAL SPLIT separates TRANSIENT + TONAL audio content",,,Plugin,"AU, VST3",1.3.4,,,,,,,,,
EChannel,Eventide,"Dynamics, EQ, Preamps","Dynamics, EQ, Preamps",Channel Strip,Channel Strip,,,,"Channel w/ routable Gate, 5-band parametric EQ, Compressor, De-Esser, analog transformer saturation",,,Plugin,"AU, VST3",3.11.4,,,,,,,,,
EQ45,Eventide,EQ,EQ,Modeled,Modeled,,UREI 545 Parametric Equalizer,,,,,Plugin,"AU, VST3",3.11.4,,,,,,,,,
EQ65,Eventide,EQ,EQ,Modeled,Modeled,,UREI 546 Dual Parametric Equalizer,,,,,Plugin,"AU, VST3",3.11.4,,,,,,,,,
H3000 Band Delays Mk II,Eventide,"Delay, Modulation","Delay, Modulation",Modeled,Modeled,,Eventide H3000 Ultra-Harmonizer,,"8 voices of tempo-based, filtered delays. 
[ Function Generator (LFO) based feedback modulation. LPF, HPF, All-Pass, Band-Pass and Shelving EQ (per-voice) ]",Eventide H3000 Ultra-Harmonizer TOP,,Plugin,"AU, VST3",1.3.4,,,,,,,,,
H3000 Factory Mk II,Eventide,"Delay, Modulation, Pitch","Delay, Modulation, Pitch",Modeled,Modeled,,Eventide H3000 Ultra-Harmonizer,,"18 block effects processor
[ 2 delay, 2 pitch shift, 2 filters, 2 VCA AM modules, 2 envelope modules, 2 LFOs w/ 13 shapes, Noise Generator, Function Generator ]",Eventide H3000 Ultra-Harmonizer TOP,,Plugin,"AU, VST3",1.3.4,,,,,,,,,
